BuyEV,PriceBudgetRatio,range,HomeSlowChgWalkTime,WorkSlowChgWalkTime,FastChgTime,TownToFastChgDriveTime,HwyFastChgDistance,gender,race,state,license,edu,employment,hsincome,hhsize,housit,residence,move,all_car,new_car,ev,new_ev,home_parking,hp2,hp3,hp4,hp5,hp6,HomeChgAvai,work_parking,WorkChgAvai,buycar,zipcode,dmileage,long_dist,gascost,age,used_car_owner,used_ev_owner,used,NextCarBudget,PopDensity,orphan,ev_owner,priceshow,zip_median_home_value,state_elec_price,state_high_temp,state_precip
1,0.7,400,10,2,60,5,50,1,White,Virginia,Yes,5,1,8,4,1,1,2,2,2,0,0,Attached garage,,,,,,2,5,1,1,22942,60,4,200,40,0,0,0,50000,72.60456,1,0,35000,239600,12.4,66.9,45.8
1,0.7,400,20,1,15,10,50,1,White,Kentucky,Yes,5,1,2,3,2,1,1,1,0,0,0,,,Driveway or carport,,On street,,2,5,2,2,42071,5,0,50,38,1,0,1,5000,139.7962,1,0,3500,117100,10.56,67.2,50.4
0,0.7,100,5,5,5,5,70,0,White,Arizona,Yes,6,1,4,1,1,1,3,1,1,0,0,Attached garage,,,,,,2,2,1,3,86314,10,1,40,53,0,0,0,30000,476.3779,1,0,21000,151300,13.16,75.3,11.6
1,0.85,100,0,5,60,5,70,0,White,Pennsylvania,Yes,4,1,1,1,1,1,2,1,0,0,0,Attached garage,,Driveway or carport,,,,2,2,2,1,16125,35,1,250,37,1,0,1,15000,166.2406,1,0,12750,93000,14.38,59.7,45
0,1,300,3,5,15,no,30,1,White,Michigan,Yes,3,1,3,5,2,1,1,2,0,0,0,,Detached garage,Driveway or carport,,,,2,2,2,1,48186,30,2,200,40,1,0,1,10000,4420.044,1,0,10000,85900,16.07,55,33.9
1,1,400,1,1,60,15,no,1,White,Vermont,Yes,5,1,3,1,2,2,2,2,2,0,0,Attached garage,,,,,,2,2,2,1,5673,25,0,70,64,0,0,0,40000,46.94477,1,0,40000,337200,18.5,53.4,46
0,1,200,10,5,5,15,30,1,White,Arizona,Yes,6,1,4,4,1,1,3,2,1,0,0,,,Driveway or carport,,,,2,2,2,1,85543,35,2,90,52,1,0,0,25000,6.404021,1,0,25000,118700,13.16,75.3,11.6
1,0.7,300,1,2,30,5,no,0,White,Oregon,Yes,4,2,1,1,2,1,1,1,0,0,0,,,Driveway or carport,,,,1,5,2,1,97013,15,3,100,52,1,0,1,10000,399.1407,2,0,7000,261700,11.02,59.4,32.1
1,0.7,100,0,0,15,10,no,0,White,Texas,Yes,5,1,3,5,1,1,3,2,1,0,0,Attached garage,,,,,,2,2,2,1,76244,20,0,60,31,1,0,0,30000,3514.403,1,0,21000,174300,11.36,78.1,28.6
0,0.7,100,10,10,5,10,30,0,White,Florida,Yes,5,1,3,2,1,1,2,1,0,0,0,,,Driveway or carport,,,,2,2,2,3,34952,20,2,30,61,1,0,1,20000,1646.587,1,0,14000,99100,11.37,81.9,54.4
0,1,400,3,2,60,10,no,0,White,Oregon,Yes,3,3,1,2,1,1,1,1,0,0,0,,,Driveway or carport,,,,2,5,3,2,97360,5,2,100,26,1,0,1,10000,98.43784,1,0,10000,167600,11.02,59.4,32.1
1,0.85,400,1,5,5,10,70,1,White,Arizona,Yes,6,1,2,1,1,1,1,1,1,0,0,,,Driveway or carport,,,,2,2,2,1,85710,30,1,60,32,0,0,0,20000,4507.787,1,0,17000,151900,13.16,75.3,11.6
